source,target
0,25
1,43
2,6
3,89
4,7
5,27
6,57
7,76
8,64
9,57
10,73
11,54
12,85
13,9
14,98
15,5
16,56
17,25
18,32
19,25
20,2
21,84
22,78
23,48
24,50
25,90
26,52
27,95
28,87
29,62
30,92
31,25
32,74
33,63
34,53
35,75
36,61
37,46
38,34
39,70
40,99
41,57
42,66
43,37
44,13
45,39
46,25
47,51
48,81
49,20
50,96
51,41
52,29
53,54
54,16
55,5
56,1
57,42
58,81
59,23
60,91
61,54
62,6
64,2
65,18
66,87
67,55
68,93
69,29
70,95
71,53
72,4
73,32
74,3
75,97
76,46
77,82
78,67
79,37
80,11
81,97
82,26
83,32
84,46
85,25
86,24
87,30
88,11
89,2
90,16
91,62
92,45
93,67
94,52
95,17
96,27
97,68
98,16
99,89
